0,0,volt,time,,,,,,
1.544477028,316,1.544477028,2.175639078,,,,,,
1.524926686,312,1.524926686,2.180348253,,,,,,
1.544477028,316,1.544477028,2.185057428,,,,,,
1.534701857,314,1.534701857,2.189766603,,,,,,
1.529814272,313,1.529814272,2.194475778,,,,,,
1.539589443,315,1.539589443,2.199184953,,,,,,
1.554252199,318,1.554252199,2.203894128,,,,,,
1.56402737,320,1.56402737,2.208603303,,,,,,
1.544477028,316,1.544477028,2.213312478,,,,,,
1.539589443,315,1.539589443,2.218021653,,,,,,
1.559139785,319,1.559139785,2.222730828,,,,,,
1.559139785,319,1.559139785,2.227440003,,,,,,
1.534701857,314,1.534701857,2.232149178,,,,,,
1.554252199,318,1.554252199,2.236858353,,,,,,
1.549364614,317,1.549364614,2.241567528,,,,,,
1.515151515,310,1.515151515,2.246276703,,,,,,
1.505376344,308,1.505376344,2.250985878,,,,,,
1.559139785,319,1.559139785,2.255695053,,,,,,
1.60801564,329,1.60801564,2.260404228,,,,,,
1.554252199,318,1.554252199,2.265113403,,,,,,
1.524926686,312,1.524926686,2.269822578,,,,,,
1.559139785,319,1.559139785,2.274531753,,,,,,
1.56402737,320,1.56402737,2.279240928,,,,,,
1.56402737,320,1.56402737,2.283950103,,,,,,
1.578690127,323,1.578690127,2.288659278,,,,,,
1.578690127,323,1.578690127,2.293368453,,,,,,
1.568914956,321,1.568914956,2.298077628,,,,,,
1.559139785,319,1.559139785,2.302786803,,,,,,
1.559139785,319,1.559139785,2.307495978,,,,,,
1.622678397,332,1.622678397,2.312205153,,,,,,
1.65200391,338,1.65200391,2.316914328,,,,,,
1.60801564,329,1.60801564,2.321623503,,,,,,
1.578690127,323,1.578690127,2.326332678,,,,,,
1.588465298,325,1.588465298,2.331041853,,,,,,
1.598240469,327,1.598240469,2.335751028,,,,,,
1.578690127,323,1.578690127,2.340460203,,,,,,
1.686217009,345,1.686217009,2.345169378,,,,,,
1.656891496,339,1.656891496,2.349878553,,,,,,
1.573802542,322,1.573802542,2.354587728,,,,,,
1.568914956,321,1.568914956,2.359296903,,,,,,
1.588465298,325,1.588465298,2.364006078,,,,,,
1.593352884,326,1.593352884,2.368715253,,,,,,
1.598240469,327,1.598240469,2.373424428,,,,,,
1.573802542,322,1.573802542,2.378133603,,,,,,
1.603128055,328,1.603128055,2.382842778,,,,,,
1.642228739,336,1.642228739,2.387551953,,,,,,
